building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,city,country,state
742,0,2016-01-01 01:00:00,7.5,5,Entertainment/public assembly,31829,1976.0,2.0,5.0,0.0,2.0,,,260.0,2.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-01 19:00:00,26.4,5,Entertainment/public assembly,31829,1976.0,2.0,9.0,,7.0,,,120.0,10.8,Loughborough,United Kingdom,Loughborough
742,0,2016-01-02 01:00:00,7.5,5,Entertainment/public assembly,31829,1976.0,2.0,9.0,,9.0,,,120.0,10.8,Loughborough,United Kingdom,Loughborough
742,0,2016-01-02 12:00:00,28.6,5,Entertainment/public assembly,31829,1976.0,2.0,10.0,,10.0,,,320.0,3.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-02 13:00:00,28.2,5,Entertainment/public assembly,31829,1976.0,2.0,11.0,,10.0,,,290.0,4.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-02 23:00:00,7.2,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,6.0,,,270.0,7.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-03 21:00:00,7.2,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,6.0,,,220.0,4.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-04 15:00:00,29.8,5,Entertainment/public assembly,31829,1976.0,2.0,9.0,,7.0,,,210.0,5.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-05 03:00:00,9.0,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,7.0,,,260.0,2.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-06 23:00:00,23.8,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,7.0,,,140.0,8.8,Loughborough,United Kingdom,Loughborough
742,0,2016-01-07 01:00:00,8.3,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,7.0,,,140.0,9.3,Loughborough,United Kingdom,Loughborough
742,0,2016-01-07 20:00:00,209.4,5,Entertainment/public assembly,31829,1976.0,2.0,5.0,,2.0,,,280.0,3.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-09 03:00:00,7.9,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,6.0,,,190.0,3.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-09 05:00:00,8.0,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,7.0,,,170.0,4.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-09 19:00:00,7.8,5,Entertainment/public assembly,31829,1976.0,2.0,8.0,,5.0,,,230.0,7.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-09 22:00:00,8.1,5,Entertainment/public assembly,31829,1976.0,2.0,7.0,,4.0,,,230.0,6.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-10 17:00:00,28.8,5,Entertainment/public assembly,31829,1976.0,2.0,7.0,,4.0,,,240.0,5.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-11 10:00:00,48.9,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,5.0,,,250.0,2.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-11 14:00:00,45.9,5,Entertainment/public assembly,31829,1976.0,2.0,7.0,,6.0,,,280.0,4.6,Loughborough,United Kingdom,Loughborough
742,0,2016-01-12 07:00:00,17.2,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,2.0,,,280.0,7.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-12 10:00:00,47.9,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,3.0,,,280.0,10.3,Loughborough,United Kingdom,Loughborough
742,0,2016-01-12 19:00:00,162.4,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,2.0,,,300.0,10.8,Loughborough,United Kingdom,Loughborough
742,0,2016-01-13 22:00:00,75.1,5,Entertainment/public assembly,31829,1976.0,2.0,4.0,,3.0,,,280.0,7.2,Loughborough,United Kingdom,Loughborough
742,0,2016-01-14 01:00:00,9.1,5,Entertainment/public assembly,31829,1976.0,2.0,3.0,,2.0,,,300.0,5.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-15 06:00:00,10.0,5,Entertainment/public assembly,31829,1976.0,2.0,2.0,,0.0,,,290.0,6.2,Loughborough,United Kingdom,Loughborough
742,0,2016-01-16 15:00:00,27.2,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,3.0,,,140.0,1.0,Loughborough,United Kingdom,Loughborough
742,0,2016-01-16 20:00:00,7.6,5,Entertainment/public assembly,31829,1976.0,2.0,4.0,,3.0,,,270.0,2.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-17 11:00:00,27.5,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,6.0,,,110.0,3.1,Loughborough,United Kingdom,Loughborough
742,0,2016-01-17 18:00:00,24.3,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,5.0,,,110.0,6.7,Loughborough,United Kingdom,Loughborough
742,0,2016-01-18 01:00:00,8.0,5,Entertainment/public assembly,31829,1976.0,2.0,6.0,,5.0,,,120.0,8.2,Loughborough,United Kingdom,Loughborough
