building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,city,country,state
1419,0,2016-01-01 08:00:00,7.425,15,Lodging/residential,40629,1975.0,,,,,,,,,Pittsburgh,USA,PA
1419,0,2016-01-01 11:00:00,7.5,15,Lodging/residential,40629,1975.0,,,,,,,,,Pittsburgh,USA,PA
1419,0,2016-01-01 12:00:00,7.75,15,Lodging/residential,40629,1975.0,,-1.0,,-3.0,,,250.0,2.6,Pittsburgh,USA,PA
1419,0,2016-01-01 19:00:00,7.325,15,Lodging/residential,40629,1975.0,,0.0,,-5.0,,,280.0,7.7,Pittsburgh,USA,PA
1419,0,2016-01-03 01:00:00,7.4,15,Lodging/residential,40629,1975.0,,-1.0,,-5.0,,,230.0,3.1,Pittsburgh,USA,PA
1419,0,2016-01-03 18:00:00,7.525,15,Lodging/residential,40629,1975.0,,1.0,,-3.0,,,270.0,4.1,Pittsburgh,USA,PA
1419,0,2016-01-03 19:00:00,7.3,15,Lodging/residential,40629,1975.0,,1.0,,-3.0,,,270.0,3.6,Pittsburgh,USA,PA
1419,0,2016-01-03 20:00:00,7.45,15,Lodging/residential,40629,1975.0,,1.0,,-3.0,,,280.0,4.1,Pittsburgh,USA,PA
1419,0,2016-01-03 23:00:00,7.875,15,Lodging/residential,40629,1975.0,,0.0,,-2.0,,,320.0,8.8,Pittsburgh,USA,PA
1419,0,2016-01-04 02:00:00,7.075,15,Lodging/residential,40629,1975.0,,-4.0,,-7.0,,,310.0,5.7,Pittsburgh,USA,PA
1419,0,2016-01-04 14:00:00,7.8,15,Lodging/residential,40629,1975.0,,-12.0,,-15.0,,,10.0,6.2,Pittsburgh,USA,PA
1419,0,2016-01-05 17:00:00,7.7,15,Lodging/residential,40629,1975.0,,-9.0,2.0,-13.0,,,290.0,2.6,Pittsburgh,USA,PA
1419,0,2016-01-06 13:00:00,8.85,15,Lodging/residential,40629,1975.0,,-12.0,0.0,-16.0,,,110.0,3.6,Pittsburgh,USA,PA
1419,0,2016-01-06 14:00:00,8.225,15,Lodging/residential,40629,1975.0,,-8.0,0.0,-13.0,,,90.0,3.1,Pittsburgh,USA,PA
1419,0,2016-01-08 02:00:00,8.25,15,Lodging/residential,40629,1975.0,,-4.0,0.0,-9.0,,,,2.6,Pittsburgh,USA,PA
